symbol,company_name,sector,industry,market_cap_category,exchange,beta,average_volume_90_days,has_dividend,ipo_year
MMM,3M,Industrials,Industrial Conglomerates,Large,NYQ,1.131,4103945.0,Yes,
AOS,A. O. Smith,Industrials,Building Products,Large,NYQ,1.304,1375905.0,Yes,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,Large,NYQ,0.744,10984633.0,Yes,
ABBV,AbbVie,Health Care,Biotechnology,Large,NYQ,0.334,7058505.0,Yes,
ACN,Accenture,Information Technology,IT Consulting & Other Services,Large,NYQ,1.251,6513969.0,Yes,
ADBE,Adobe Inc.,Information Technology,Application Software,Large,NMS,1.532,5712062.0,No,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Large,NMS,2.022,36274357.0,No,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Large,NYQ,0.941,12571510.0,Yes,
AFL,Aflac,Financials,Life & Health Insurance,Large,NYQ,0.65,2299588.0,Yes,
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Large,NYQ,1.312,2251625.0,Yes,
APD,Air Products,Materials,Industrial Gases,Large,NYQ,0.864,1495772.0,Yes,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NMS,1.163,4571350.0,No,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Large,NMS,0.704,4110398.0,No,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Large,NYQ,1.476,2830527.0,Yes,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Large,NYQ,1.319,2495320.0,Yes,
ALGN,Align Technology,Health Care,Health Care Supplies,Large,NMS,1.823,1229281.0,No,
ALLE,Allegion,Industrials,Building Products,Large,NYQ,1.008,868259.0,Yes,
LNT,Alliant Energy,Utilities,Electric Utilities,Large,NMS,0.611,2571659.0,Yes,
ALL,Allstate,Financials,Property & Casualty Insurance,Large,NYQ,0.206,1669888.0,Yes,
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Large,NMS,1.112,32649994.0,Yes,
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Large,NMS,1.112,20855296.0,Yes,
MO,Altria,Consumer Staples,Tobacco,Large,NYQ,0.434,10163315.0,Yes,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Large,NMS,1.42,48889476.0,No,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Large,NYQ,0.635,6225944.0,Yes,
AEE,Ameren,Utilities,Multi-Utilities,Large,NYQ,0.531,1714669.0,Yes,
AEP,American Electric Power,Utilities,Electric Utilities,Large,NMS,0.573,3578871.0,Yes,
AXP,American Express,Financials,Consumer Finance,Large,NYQ,1.152,3552644.0,Yes,
AIG,American International Group,Financials,Multi-line Insurance,Large,NYQ,0.58,4665228.0,Yes,
AMT,American Tower,Real Estate,Telecom Tower REITs,Large,NYQ,0.907,3086181.0,Yes,
AWK,American Water Works,Utilities,Water Utilities,Large,NYQ,0.759,1735842.0,Yes,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Large,NYQ,1.271,674432.0,Yes,
AME,Ametek,Industrials,Electrical Components & Equipment,Large,NYQ,1.013,1382944.0,Yes,
AMGN,Amgen,Health Care,Biotechnology,Large,NMS,0.425,2740533.0,Yes,
APH,Amphenol,Information Technology,Electronic Components,Large,NYQ,1.214,10016905.0,Yes,
ADI,Analog Devices,Information Technology,Semiconductors,Large,NMS,1.021,3979669.0,Yes,
AON,Aon plc,Financials,Insurance Brokers,Large,NYQ,0.828,1414925.0,Yes,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Large,NMS,0.708,7248061.0,Yes,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,Large,NYQ,1.638,4979088.0,Yes,
